cg15804973,MAP3K5
cg05250458,ZNF177
cg25411725,SLC22A13
cg15381769,PTPRK
cg25657834,NTSR2
cg13216057,DKK3
cg21211748,E2F2
cg22568540,NCRNA00181
cg06557358,TMEM132E
cg26842024,KLF2
cg01570885,FAM50B
cg07455279,NDUFA3
cg04431054,PRRC1
cg02654291,C9orf64
cg26045434,HR
cg00945507,SEC61G
cg24262469,TIPARP
cg22920873,C7orf55
cg20947775,SCD5
cg09441152,PQLC1
cg15988232,CSPG5
cg13460409,DSCR6
cg06688848,RSPRY1
cg13854874,CHAF1B
cg02071305,VPS18
cg18573383,KCNC2
cg04836038,DOCK9
cg00075967,STRA6
cg12768605,LYPD5
cg27016307,HRC
cg22613010,CLCN2
cg05921699,CD79A
cg01644850,ZNF551
cg14163776,ACAP2
cg10523019,RHBDD1
cg08186124,LZTFL1
cg07337598,ANXA9
cg11299964,MAPKAP1
cg02388150,SFRP1
cg22432269,CYFIP1
cg19273182,PAPOLG
cg03588357,GPR68
cg07770222,C8orf31
cg01968178,REEP1
cg27202708,C1orf65
cg04084157,VGF
cg03565323,ZNF287
cg07388493,NDUFS5
cg16547529,KLHL35
cg17408647,C7orf44
cg21378206,IL1F5
cg22679120,SNX8
cg14060828,PTH2
cg10377274,PATE1
cg14654875,NAT15
cg10920957,JPH3
cg02580606,KRT33B
cg08434234,DGKI
cg20999813,USP10
cg12616277,ESYT3
